"filename", "language", "JavaScript React", "JavaScript", "CSS", "JSON", "Markdown", "XML", "comment", "blank", "total"
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content1.js", "JavaScript", 0, 71, 0, 0, 0, 0, 0, 2, 73
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content2a.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 2, 67
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content3.js", "JavaScript", 0, 124, 0, 0, 0, 0, 0, 2, 126
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content6.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 2, 66
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12content7.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 2, 66
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12cta11.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 2, 48
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12faqs2.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 2, 153
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12features4.js", "JavaScript", 0, 151, 0, 0, 0, 0, 0, 2, 153
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12features8.js", "JavaScript", 0, 92, 0, 0, 0, 0, 0, 2, 94
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12hero12.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 3, 49
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12newsletter2.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 2, 55
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12projects2.js", "JavaScript", 0, 208, 0, 0, 0, 0, 0, 3, 211
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12reviews1.js", "JavaScript", 0, 402, 0, 0, 0, 0, 0, 3, 405
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo12/Demo12statistic2.js", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 3, 56
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13brands2.js", "JavaScript", 0, 146, 0, 0, 0, 0, 0, 2, 148
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13content2.js", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 2, 59
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13content3.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 2, 124
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13content5.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 2, 61
"/Users/brunopaula/Desktop/fmb/website/fmb/src/components/olmo/demo13/Demo13content6.js", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 2, 66
